中间字符串,出现次数,实例
周围景观,765570,"""GOLD GLADIATOR "" apartment 周围景观 罗马电影城"
出生地,514115,007（谍战影片） 出生地 英国
地理位置,305799,"""GOLD GLADIATOR "" apartment 地理位置 钱皮诺机场"
所属地区,227855,010 所属地区 华北
地区,221936,"""1·18""组织、领导传销系列案 地区 广西壮族自治区南宁市"
总部地点,203858,(BOA)宝儿国际化妆品营运中心 总部地点 常州
成立时间,180945,+GF+ 成立时间 1802年
面积,173258,".ba 面积 51,750平方千米"
人口,164586,".ba 人口 3,922,000(2001"
界,161812,"""雪人"" 界 动物界"
科,129261,(共鸟)科 科 (共鸟)科
分布区域,124288,"""雪人"" 分布区域 寒带区域"
行政区类别,120224,010 行政区类别 直辖市
门,117517,(共鸟)科 门 <a>脊索动物门</a> Chordata
地点,113779,"""1+8""时代广场 地点 咸宁大道与银泉大道交叉口"
目,113586,107杨 目 杨柳目
纲,111037,"""雪人"" 纲 哺乳纲"
逝世日期,108063,1900 逝世日期 1945年左右
属,94472,020模式 属 商务
分类,90791,"""1·18""组织、领导传销系列案 分类 传销"
时间,89127,"""1.4""河南兰考火灾事故 时间 2013年1月4日"
占地面积,67634,"""9·11""纪念馆 占地面积 约1万平方米"
地址,57701,1+1网络电台 地址 施良桥科技实验大楼十层
种,55761,"""雪人"" 种 猿"
下辖地区,53915,010 下辖地区 东城区等14区 密云延庆2县
位置,45353,(DOA)宝儿化妆品国际营运中心 位置 中国江南名城常州
海拔,44686,1号村自然村 海拔 460.00米
信仰,43802,2013年度常德市政府信息公开年度报告 信仰 自由主义
气候条件,42436,022 气候条件 <a>暖温带</a>半湿润大陆季风型气候
隶属,42025,"""综合2030""计划 隶属 美国能源部的国家核安全局"
建筑面积,41768,1+8城市广场 建筑面积 18.6万方
亚纲,38303,107杨 亚纲 原始花被亚纲
所处时代,38169,1002年 所处时代 <a>北宋</a>
位于,37859,0598 位于 福建省中西北部
邮政区码,31302,022 邮政区码 300000
国家,30594,"""奈基""地空导弹 国家 美国（已退役）"
亚科,26998,2008晶甜糯 亚科 黍亚科 Panicoideae
方言,26119,020（广东省广州市的区号） 方言 粤语 客家话
成立于,23517,007危机公关公司 成立于 2007年11月
耕地面积,23406,121团 耕地面积 75万亩
上市时间,21277,100%互联网手机 上市时间 2012年4月
族,20405,104号元素 族 过渡金属
始建于,19584,007中国代购网 始建于 2010年
亚目,17852,8-8蝴蝶 亚目 锤角
年平均气温,17444,1号村自然村 年平均气温 25.00℃
行政区域,17023,024全时生活体 行政区域 <a>铁西区</a>
火车站,16660,020（广东省广州市的区号） 火车站 广州站 东站 南站
绿化率,16410,05鑫城 绿化率 34.5%
创始人,14507,(Na)too 创始人 张娜
民族族群,13900,1871年1月18日 民族族群 德意志帝国
分布,13481,0354 分布 灵石县
占地,12162,117社区 占地 0.3平方公里
朝代,12115,1001年 朝代 北宋
气候类型,11330,1000炮捕鱼 气候类型 暖温带半湿润气候区
建成时间,11050,031型潜艇 建成时间 1966年8月
