中间字符串,出现次数,实例
面积,173258,".ba 面积 51,750平方千米"
人口,164586,".ba 人口 3,922,000(2001"
GDP总计,299,Jordan（亚洲国家名） GDP总计 335.94亿美元（2013年）GDP （nominal）
提出,993,原生态疗法	提出	李积敏
海拔,44686,1号村自然村 海拔 460.00米
信仰,43802,2013年度常德市政府信息公开年度报告 信仰 自由主义
年平均气温,17444,1号村自然村 年平均气温 25.00℃
气候,1671,2011年青岛海云庵糖球会 气候 温带季风气候
首都,1382,.so 首都 <a>摩加迪沙</a>
辖,439,万柳地区 辖 2个社区
地貌,373,4·27宜宾地面塌陷 地貌 <a>喀斯特地貌</a>
创始人,14507,(Na)too 创始人 张娜
主峰,368,七宝山（中国祁东县境内的山脉） 主峰 最高点335米
所属水系,652,丁明歌 所属水系 <a>马来西亚</a><a>霹雳河</a>
水库总库容,181,万家塞水电站 水库总库容 8.17亿每立方米
概念,4315,亏舱费	概念	从而保证CHARTER(租家）不会随意进行缺货而导致船公司损失
流域面积,1736,卡马河	流域面积	52.2万平方千米
位于,37859,北汤天村	位于	凤仪镇南边
经纬度,690,北礁	经纬度	东经111°30′
行政区码,9,千针村	行政区码	210220
森林覆盖率,591,华亭关山	森林覆盖率	36.56%
年平均降雨量,87,南平温泉	年平均降雨量	1576
